"SUBJ";"CRSE";"SEQ";"CATALOG_TITLE";"INSTR_TYPE";"DAYS";"START_TIME";"END_TIME";"ROOM_CAP"
"ALDS";2701;"A";"Language in Society";"LEC";"MW";1005;1125;63
"ALDS";3201;"A";"Cross-Cultural Communication";"LEC";"MW";1005;1125;39
"ALDS";3401;"A";"Rsrch&Theory in Academ Writing";"LEC";"TR";1305;1425;47
"ALDS";3803;"B";"Method&Practic Langua Pedagogy";"PRC";"MW";1305;1425;27
"ALDS";3900;"A";"Independent Study";"IND";;;;
"ALDS";3901;"B";"Independent Study";"IND";;;;
"ALDS";4201;"A";"Language Testing";"LEC";"W";1435;1725;40
"ALDS";4205;"A";"Teach Engl Secnd Lang:Methodol";"LEC";"TR";935;1125;58
"ALDS";4206;"A";"Practicum in Teaching ESL";"PRC";"M";835;1025;25
"ALDS";4206;"C";"Practicum in Teaching ESL";"PRC";;;;
"ALDS";4602;"A";"Second Language Acquisition";"LEC";"TR";1605;1725;47
"ALDS";4900;"A";"Independent Study";"IND";;;;
"ALDS";4901;"B";"Independent Study";"IND";;;;
"ALDS";4906;"B";"Spc Tpc:App Lang & Discrse Std";"LEC";"F";1135;1425;39
"ALDS";4906;"C";"Spc Tpc:App Lang & Discrse Std";"LEC";;;;
"ALDS";4908;"A";"Hons Proj Applied Ling & Disc";"HON";;;;
"ANTH";1001;"C";"Introduction to Anthropology";"LEC";"F";1135;1325;444
"ANTH";1001;"C01";"Introduction to Anthropology";"GRP";"F";1335;1425;54
"ANTH";1001;"C02";"Introduction to Anthropology";"GRP";"F";1335;1425;56
"ANTH";1001;"C03";"Introduction to Anthropology";"GRP";"F";1335;1425;58
"ANTH";1001;"C04";"Introduction to Anthropology";"GRP";"F";1335;1425;55
"ANTH";1001;"C05";"Introduction to Anthropology";"GRP";"F";1335;1425;67
"ANTH";1001;"C06";"Introduction to Anthropology";"GRP";"F";1335;1425;55
"ANTH";1001;"PA2";"Introduction to Anthropology";"PAS";;;;
"ANTH";1002;"A";"Introd. to Issues in Anthro.";"LEC";"W";835;1025;444
"ANTH";1002;"A01";"Introd. to Issues in Anthro.";"GRP";"W";1035;1125;78
"ANTH";1002;"A02";"Introd. to Issues in Anthro.";"GRP";"W";1035;1125;58
"ANTH";1002;"A03";"Introd. to Issues in Anthro.";"GRP";"W";1035;1125;51
"ANTH";1002;"A04";"Introd. to Issues in Anthro.";"GRP";"W";1035;1125;94
"ANTH";1002;"A05";"Introd. to Issues in Anthro.";"GRP";"W";1335;1425;55
"ANTH";1002;"A06";"Introd. to Issues in Anthro.";"GRP";"W";1335;1425;55
"ANTH";1002;"A07";"Introd. to Issues in Anthro.";"GRP";"W";1335;1425;47
"ANTH";1002;"A08";"Introd. to Issues in Anthro.";"GRP";"W";1335;1425;58
"ANTH";1002;"PA1";"Introd. to Issues in Anthro.";"PAS";;;;
"ANTH";2001;"A";"Foundations Socio-Cultural";"LEC";"W";1135;1425;58
"ANTH";2040;"A";"Anthropology and Gender";"LEC";"M";1805;2055;58
"ANTH";2550;"B";"Religion and Society";"LEC";"T";1135;1425;96
"ANTH";2630;"A";"Studies in Asian Societies";"LEC";"R";1135;1425;61
"ANTH";2640;"A";"Andean Ethnography";"LEC";"F";1135;1425;61
"ANTH";2850;"A";"Development & Underdevelopment";"LEC";"M";1135;1425;66
"ANTH";2925;"A";"Course-Related Tut. in Anthro.";"TUT";;;;
"ANTH";3007;"A";"Hist of Anthropological Theory";"LEC";"M";1135;1425;47
"ANTH";3027;"B";"Stud in Globalization & Human";"LEC";"T";1435;1725;69
"ANTH";3215;"A";"Sel. Topics in Anthropology";"LEC";"R";1135;1425;51
"ANTH";3355;"A";"Anthropology and Environment";"LEC";"T";835;1125;48
"ANTH";3550;"A";"Studies in Visual Anthropology";"LEC";"W";1135;1425;48
"ANTH";3925;"A";"Course-Related Tut. in Anthrop";"TUT";;;;
"ANTH";3999;"A";"Co-op Work Term";"WRK";;;;
"ANTH";4000;"A";"Field Placement in Anthro";"FIE";;;;
"ANTH";4215;"A";"Sel Topics in Anthropology";"SEM";"F";1135;1425;42
"ANTH";4215;"B";"Sel Topics in Anthropology";"SEM";"F";835;1125;29
"ANTH";4610;"A";"Adv Stud in Indigenous Peoples";"SEM";"M";1805;2055;15
"ANTH";4900;"A";"Hon. Res. Paper in Anthro.";"RES";"F";1135;1425;39
"ANTH";4900;"C";"Hon. Res. Paper in Anthro.";"RES";;;;
"ANTH";4925;"A";"Tutorial in Anthropology";"TUT";;;;
"ARAB";2110;"A";"Intensive Second Year Arabic";"LEC";"TR";835;1125;42
"ARAB";2110;"A";"Intensive Second Year Arabic";"LEC";"W";1235;1425;42
"ARCC";1202;"A";"History of Structures";"LEC";"R";1435;1725;133
"ARCC";3301;"A";"Prac1:Hist Anlyss&Adapt Re-use";"WKS";"MW";1335;1725;320
"ARCC";3301;"B";"Prac1:Hist Anlyss&Adapt Re-use";"WKS";"MW";1335;1725;320
"ARCC";4202;"A";"Wood Engineering";"LEC";"T";835;1125;148
"ARCC";4202;"A1O";"Wood Engineering";"PAN";"F";835;1125;54
"ARCC";4801;"A";"Sel Top: Arch Tech";"SEM";;;;
"ARCC";4808;"B";"Independent Study";"IND";;;;
"ARCC";4909;"A";"Honours Project";"HON";"MW";1335;1725;320
"ARCC";4909;"B";"Honours Project";"HON";"MW";1335;1725;320
"ARCH";2101;"A";"Industrial Design Analysis";"LEC";"F";1135;1425;96
"ARCH";4002;"B";"History of Cdn Architecture";"LEC";"W";835;1125;75
"ARCH";4105;"A";"Theories of Landscape Design";"LEC";"M";835;1125;75
"ARCH";4201;"A";"History of Modern Housing";"LEC";"T";835;1125;59
"ARCH";4502;"A";"Research & Criticism";"LEC";"R";835;1125;75
"ARCH";4801;"A";"Sel Top: Theory & History";"SEM";;;;
"ARCH";4808;"B";"Independent Study";"IND";;;;
"ARCN";2105;"A";"Comp Modelling & Form Analysis";"LEC";"T";835;1125;204
"ARCN";2105;"A1";"Comp Modelling & Form Analysis";"LAB";"M";835;1125;30
"ARCN";2105;"A2";"Comp Modelling & Form Analysis";"LAB";"R";1805;2055;30
"ARCN";2105;"A3";"Comp Modelling & Form Analysis";"LAB";"R";1135;1425;30
"ARCN";2105;"A4";"Comp Modelling & Form Analysis";"LAB";"F";835;1125;30
"ARCN";2105;"A5";"Comp Modelling & Form Analysis";"LAB";"T";1435;1725;30
"ARCN";3003;"A";"Workshop: Theatre Production";"WKS";"TR";1135;1425;75
"ARCN";3999;"A";"Co-op Work Term";"WRK";;;;
"ARCN";4100;"A";"Historic Site Recording&Assess";"LEC";"T";1435;1725;75
"ARCN";4100;"A1";"Historic Site Recording&Assess";"LAB";"T";935;1125;30
"ARCN";4100;"A2";"Historic Site Recording&Assess";"LAB";"W";1135;1325;30
"ARCN";4100;"A3";"Historic Site Recording&Assess";"LAB";"F";935;1125;30
"ARCN";4100;"A4";"Historic Site Recording&Assess";"LAB";"R";935;1125;30
"ARCN";4100;"A5";"Historic Site Recording&Assess";"LAB";"R";1535;1725;30
"ARCN";4100;"A6";"Historic Site Recording&Assess";"LAB";"R";1135;1325;30
"ARCN";4100;"A7";"Historic Site Recording&Assess";"LAB";"M";1435;1625;30
"ARCN";4100;"A8";"Historic Site Recording&Assess";"LAB";;;;
"ARCN";4200;"A";"Buildling Pathology&Rehabilita";"LEC";"M";835;1125;75
"ARCN";4200;"A1";"Buildling Pathology&Rehabilita";"LAB";"F";1135;1425;30
"ARCN";4200;"A2";"Buildling Pathology&Rehabilita";"LAB";"T";1135;1425;30
"ARCN";4200;"A3";"Buildling Pathology&Rehabilita";"LAB";"W";835;1125;30
"ARCN";4808;"B";"Independent Study";"IND";;;;
"ARCS";1105;"A";"Studio 1";"STU";"TF";1335;1725;320
"ARCS";1105;"B";"Studio 1";"STU";"TF";1335;1725;320
"ARCS";1105;"C";"Studio 1";"STU";"TF";1335;1725;320
"ARCS";1105;"D";"Studio 1";"STU";"TF";1335;1725;320
"ARCS";1105;"E";"Studio 1";"STU";"TF";1335;1725;320
"ARCS";1105;"F";"Studio 1";"STU";"TF";1335;1725;320
"ARCS";2106;"A";"Studio 3";"STU";"MWF";1335;1725;320
"ARCS";2106;"B";"Studio 3";"STU";"MWF";1335;1725;320
"ARCS";2106;"C";"Studio 3";"STU";"MWF";1335;1725;320
"ARCS";2106;"D";"Studio 3";"STU";"MWF";1335;1725;320
"ARCS";2106;"E";"Studio 3";"STU";"MWF";1335;1725;320
"ARCS";3105;"B";"Studio 4";"STU";;;;
"ARCS";3106;"A";"Studio 5";"STU";"MWF";1335;1725;320
"ARCS";3106;"B";"Studio 5";"STU";"MWF";1335;1725;320
"ARCS";3106;"C";"Studio 5";"STU";"MWF";1335;1725;320
"ARCS";3106;"D";"Studio 5";"STU";"MWF";1335;1725;320
"ARCS";4105;"B";"Studio 6";"STU";;;;
"ARCS";4106;"A";"Studio 7";"STU";"MWF";1335;1725;320
"ARCS";4106;"B";"Studio 7";"STU";"MWF";1335;1725;320
"ARCS";4106;"C";"Studio 7";"STU";"MWF";1335;1725;320
"ARCS";4106;"D";"Studio 7";"STU";"MWF";1335;1725;320
"ARCS";4106;"E";"Studio 7";"STU";"MWF";1335;1725;320
"ARCU";3100;"A";"The Morphology of the City";"LEC";"TR";1005;1125;96
"ARCU";4600;"R";"Post-WWII Urbanism";"LEC";;;;
"ARCU";4700;"A";"Urban Utopias";"LEC";"F";835;1125;15
"ARCU";4808;"B";"Independent Study";"IND";;;;
"ARTH";1101;"A";"Art and Society:Renais to Pres";"LEC";"F";835;1025;387
"ARTH";1101;"A01";"Art and Society:Renais to Pres";"GRP";"F";1435;1525;27
"ARTH";1101;"A02";"Art and Society:Renais to Pres";"GRP";"F";1435;1525;40
"ARTH";1101;"A03";"Art and Society:Renais to Pres";"GRP";"F";1335;1425;27
"ARTH";1101;"A04";"Art and Society:Renais to Pres";"GRP";"F";1335;1425;40
"ARTH";1101;"A05";"Art and Society:Renais to Pres";"GRP";"F";1035;1125;25
"ARTH";1101;"A06";"Art and Society:Renais to Pres";"GRP";"F";1035;1125;27
"ARTH";1101;"A07";"Art and Society:Renais to Pres";"GRP";"F";1035;1125;52
"ARTH";1101;"A08";"Art and Society:Renais to Pres";"GRP";"F";1135;1225;52
"ARTH";1101;"A09";"Art and Society:Renais to Pres";"GRP";"F";1235;1325;25
"ARTH";1101;"A10";"Art and Society:Renais to Pres";"GRP";"F";1235;1325;27
"ARTH";1101;"A11";"Art and Society:Renais to Pres";"GRP";"F";1135;1225;27
"ARTH";1101;"A12";"Art and Society:Renais to Pres";"GRP";"F";1135;1225;40
"ARTH";1101;"A13";"Art and Society:Renais to Pres";"GRP";"F";1035;1125;40
"ARTH";1101;"A14";"Art and Society:Renais to Pres";"GRP";"F";1035;1125;27
"ARTH";1101;"PA1";"Art and Society:Renais to Pres";"PAS";;;;
"ARTH";1105;"B";"Art as Visual Communication";"LEC";"TR";1605;1725;75
"ARTH";1201;"A";"Hist & Theory of Arch 2";"LEC";"M";1435;1625;236
"ARTH";1201;"A1";"Hist & Theory of Arch 2";"TUT";"W";1235;1325;36
"ARTH";1201;"A2";"Hist & Theory of Arch 2";"TUT";"W";1335;1425;28
"ARTH";1201;"A3";"Hist & Theory of Arch 2";"TUT";"W";1435;1525;25
"ARTH";1201;"A4";"Hist & Theory of Arch 2";"TUT";"T";1435;1525;52
"ARTH";1201;"A5";"Hist & Theory of Arch 2";"TUT";"T";1635;1725;52
"ARTH";1201;"A6";"Hist & Theory of Arch 2";"TUT";"T";1905;1955;27
"ARTH";2002;"B";"Canadian Historical Art";"LEC";"T";1435;1725;40
"ARTH";2007;"B";"Asian Art";"LEC";"R";1435;1725;69
"ARTH";2202;"A";"Medieval Architecture and Art";"LEC";"MW";835;955;52
"ARTH";2310;"B";"Arch of Early Modern Europe";"LEC";"TR";1005;1125;69
"ARTH";2405;"B";"European Art of 17th Century";"LEC";"MW";1605;1725;40
"ARTH";2600;"A";"Modern European Art: 1900-1945";"LEC";"MW";1435;1555;52
"ARTH";3000;"B";"Themes in Canadian Art";"LEC";"M";1805;2055;27
"ARTH";3002;"B";"Canadian Architecture";"LEC";"W";835;1125;75
"ARTH";3106;"A";"History of Methods of Art Hist";"SEM";"T";835;1125;32
"ARTH";3505;"A";"French Impress:Art, Leis & Soc";"LEC";"MW";1135;1255;52
"ARTH";3600;"B";"Modern Art from c.1945-c. 1980";"LEC";"T";1435;1725;32
"ARTH";3809;"B";"Closer Look@Art&Visual Culture";"LEC";"R";1135;1425;40
"ARTH";3900;"B";"Practicum in Art History";"PRC";;;;
"ARTH";4005;"A";"Topics in Comtemp Aborig Art";"SEM";"M";1435;1725;27
"ARTH";4305;"B";"Topics in Renaissance Art";"SEM";"W";1135;1425;40
"ARTH";4809;"B";"Topic in Art History&Criticism";"SEM";"F";1135;1425;39
"ARTH";4809;"C";"Topic in Art History&Criticism";"SEM";"T";835;1125;40
"ARTH";4900;"B";"Directed Readings and Research";"IND";;;;
"ARTH";4909;"A";"Honours Research Essay";"IND";;;;
"ASLA";1010;"K";"First Yr American Sign Langu I";"LEC";"WF";1435;1625;58
"ASLA";1010;"L";"First Yr American Sign Langu I";"LEC";"TR";1435;1625;84
"ASLA";1010;"M";"First Yr American Sign Langu I";"LEC";"WF";1435;1625;84
"ASLA";1010;"O";"First Yr American Sign Langu I";"LEC";"TR";935;1125;51
"ASLA";1020;"A";"First Yr American Sign Lang II";"LEC";"TR";1135;1325;69
"ASLA";1020;"B";"First Yr American Sign Lang II";"LEC";"MW";935;1125;32
"ASLA";1020;"C";"First Yr American Sign Lang II";"LEC";"TR";935;1125;52
"ASLA";1020;"D";"First Yr American Sign Lang II";"LEC";"MW";1805;1955;58
"ASLA";1020;"E";"First Yr American Sign Lang II";"LEC";"TR";1805;1955;58
"ASLA";1020;"F";"First Yr American Sign Lang II";"LEC";"WF";1135;1325;48
"ASLA";2020;"A";"Secon Yr American Sign Lang II";"LEC";"MW";1435;1625;42
"ASLA";2020;"B";"Secon Yr American Sign Lang II";"LEC";"TR";1435;1625;42
"ASLA";2110;"A";"Intens Secon-Yr Amer Sign Lang";"LEC";"MTRF";1135;1325;42
"ASLA";3020;"A";"Third Yr American Sign Lang II";"LEC";"MW";1635;1755;40
"ASLA";3020;"B";"Third Yr American Sign Lang II";"LEC";"MW";1805;1925;40
"ASLA";4020;"A";"Fourth Yr American Sign Lan II";"LEC";"TR";1435;1555;58
"ASLA";4900;"A";"Independent Study";"IND";;;;
"ASLA";4901;"C";"Independent Study";"IND";;;;
"BIOC";2400;"A";"Independent Research I";"OTH";;;;
"BIOC";3006;"A";"Practical Biochemistry";"TUT";"M";1335;1425;67
"BIOC";3006;"A03";"Practical Biochemistry";"LAB";"W";1335;1725;32
"BIOC";3006;"A04";"Practical Biochemistry";"LAB";"R";1335;1725;32
"BIOC";3006;"A05";"Practical Biochemistry";"LAB";"F";1335;1725;32
"BIOC";3008;"A";"Bioinformatics";"LEC";"F";1305;1425;31
"BIOC";3008;"A01";"Bioinformatics";"WKS";"F";835;1125;30
"BIOC";3102;"A";"General Biochemistry II";"LEC";"MW";835;955;102
"BIOC";3400;"A";"Independent Research II";"OTH";;;;
"BIOC";3999;"A";"Co-op Work Term";"WRK";;;;
"BIOC";4001;"A";"Methods in Biochemistry";"LEC";"R";1805;1955;31
"BIOC";4001;"A01";"Methods in Biochemistry";"LAB";"M";1335;1925;32
"BIOC";4001;"A02";"Methods in Biochemistry";"LAB";"T";1335;1925;32
"BIOC";4004;"A";"Industrial Biochemistry";"LEC";"W";1805;2055;39
"BIOC";4200;"A";"Immunology";"LEC";"WF";1435;1555;78
"BIOC";4201;"A";"Adv Cell Culture&Tissue Engine";"TUT";"F";1335;1425;25
"BIOC";4201;"A02";"Adv Cell Culture&Tissue Engine";"LAB";"T";1335;1725;25
"BIOC";4201;"A04";"Adv Cell Culture&Tissue Engine";"LAB";"R";1335;1725;25
"BIOC";4202;"A";"Mutagenesis and DNA Repair";"LEC";"R";1135;1325;57
"BIOC";4202;"A01";"Mutagenesis and DNA Repair";"WKS";"T";935;1125;40
"BIOC";4204;"A";"Protein Biotechnology";"LEC";"M";1605;1755;58
"BIOC";4204;"A01";"Protein Biotechnology";"WKS";"W";1605;1755;25
"BIOC";4400;"A";"Nuclear Dynamics & The Cell Cy";"LEC";"T";1135;1255;35
"BIOC";4400;"A01";"Nuclear Dynamics & The Cell Cy";"WKS";"F";1135;1255;35
"BIOC";4901;"C";"Topics in Biochemistry";"IND";;;;
"BIOC";4901;"D";"Topics in Biochemistry";"IND";;;;
"BIOC";4906;"A";"Interdisciplinary Res Project";"OTH";;;;
"BIOC";4907;"A";"Honours Research Essay";"RES";;;;
"BIOC";4907;"B";"Honours Research Essay";"RES";;;;
"BIOC";4907;"C";"Honours Research Essay";"RES";;;;
"BIOC";4908;"A";"Research Project";"REP";;;;
"BIOC";4908;"B";"Research Project";"REP";;;;
"BIOC";4908;"C";"Research Project";"REP";;;;
"BIOL";1004;"A";"Introductory Biology II";"LEC";"MWF";1235;1325;391
"BIOL";1004;"A02";"Introductory Biology II";"LAB";"T";1335;1625;50
"BIOL";1004;"A03";"Introductory Biology II";"LAB";"W";1335;1625;50
"BIOL";1004;"A04";"Introductory Biology II";"LAB";"R";1335;1625;50
"BIOL";1004;"A07";"Introductory Biology II";"LAB";"T";835;1125;50
"BIOL";1004;"A08";"Introductory Biology II";"LAB";"W";835;1125;50
"BIOL";1004;"A09";"Introductory Biology II";"LAB";"R";835;1125;50
"BIOL";1004;"C02";"Introductory Biology II";"TUT";"T";1335;1625;31
"BIOL";1004;"C03";"Introductory Biology II";"LAB";"W";1335;1625;31
"BIOL";1004;"C04";"Introductory Biology II";"LAB";"R";1335;1625;27
"BIOL";1004;"C07";"Introductory Biology II";"LAB";"T";835;1125;25
"BIOL";1004;"C08";"Introductory Biology II";"LAB";"W";835;1125;25
"BIOL";1004;"C09";"Introductory Biology II";"LAB";"R";835;1125;25
"BIOL";1004;"T02";"Introductory Biology II";"TUT";"T";1335;1625;67
"BIOL";1004;"T03";"Introductory Biology II";"TUT";"W";1335;1625;67
"BIOL";1004;"T04";"Introductory Biology II";"TUT";"R";1335;1625;67
"BIOL";1004;"T07";"Introductory Biology II";"TUT";"T";835;1125;67
"BIOL";1004;"T08";"Introductory Biology II";"TUT";"W";835;1125;67
"BIOL";1004;"T09";"Introductory Biology II";"TUT";"R";835;1125;67
"BIOL";1104;"A";"Foundations of Biology II";"LEC";"MWF";1235;1325;331
"BIOL";1104;"A02";"Foundations of Biology II";"LAB";"T";1335;1625;50
"BIOL";1104;"A03";"Foundations of Biology II";"LAB";"W";1335;1625;50
"BIOL";1104;"A04";"Foundations of Biology II";"LAB";"R";1335;1625;50
"BIOL";1104;"A07";"Foundations of Biology II";"LAB";"T";835;1125;50
"BIOL";1104;"A08";"Foundations of Biology II";"LAB";"W";835;1125;50
"BIOL";1104;"A09";"Foundations of Biology II";"LAB";"R";835;1125;50
"BIOL";1104;"C02";"Foundations of Biology II";"LAB";"T";1335;1625;31
"BIOL";1104;"C03";"Foundations of Biology II";"LAB";"W";1335;1625;31
"BIOL";1104;"C04";"Foundations of Biology II";"LAB";"R";1335;1625;27
"BIOL";1104;"C07";"Foundations of Biology II";"LAB";"T";835;1125;25
"BIOL";1104;"C08";"Foundations of Biology II";"LAB";"W";835;1125;25
"BIOL";1104;"C09";"Foundations of Biology II";"LAB";"R";835;1125;25
"BIOL";1104;"N";"Foundations of Biology II";"LEC";"MWF";1235;1325;331
"BIOL";1104;"N02";"Foundations of Biology II";"LAB";"T";1335;1625;50
"BIOL";1104;"PA1";"Foundations of Biology II";"PAS";;;;
"BIOL";1104;"T02";"Foundations of Biology II";"TUT";"T";1335;1625;67
"BIOL";1104;"T03";"Foundations of Biology II";"TUT";"W";1335;1625;67
"BIOL";1104;"T04";"Foundations of Biology II";"TUT";"R";1335;1625;67
"BIOL";1104;"T07";"Foundations of Biology II";"TUT";"T";835;1125;67
"BIOL";1104;"T08";"Foundations of Biology II";"TUT";"W";835;1125;67
"BIOL";1104;"T09";"Foundations of Biology II";"TUT";"R";835;1125;67
"BIOL";1902;"V";"Natural History";"LEC";;;;
"BIOL";1902;"VOD";"Natural History";"VOD";;;;
"BIOL";2001;"A";"Animals: Form and Function";"LEC";"TR";1005;1125;285
"BIOL";2001;"A01";"Animals: Form and Function";"LAB";"M";1335;1625;50
"BIOL";2001;"A02";"Animals: Form and Function";"LAB";"T";1335;1625;50
"BIOL";2001;"A03";"Animals: Form and Function";"LAB";"W";1335;1625;50
"BIOL";2001;"A04";"Animals: Form and Function";"LAB";"R";1335;1625;50
"BIOL";2001;"A05";"Animals: Form and Function";"LAB";"F";1335;1625;50
"BIOL";2001;"A11";"Animals: Form and Function";"LAB";"M";1335;1625;50
"BIOL";2001;"A12";"Animals: Form and Function";"LAB";"T";1335;1625;50
"BIOL";2001;"A13";"Animals: Form and Function";"LAB";"W";1335;1625;50
"BIOL";2001;"A14";"Animals: Form and Function";"LAB";"R";1335;1625;50
"BIOL";2001;"A15";"Animals: Form and Function";"LAB";"F";1335;1625;50
"BIOL";2104;"A";"Introductory Genetics";"LEC";"TR";1135;1255;331
"BIOL";2104;"A01";"Introductory Genetics";"LAB";"M";1435;1725;50
"BIOL";2104;"A02";"Introductory Genetics";"LAB";"T";1435;1725;50
"BIOL";2104;"A03";"Introductory Genetics";"LAB";"W";1435;1725;50
"BIOL";2104;"A04";"Introductory Genetics";"LAB";"R";1435;1725;50
"BIOL";2104;"A05";"Introductory Genetics";"LAB";"F";1435;1725;50
"BIOL";2104;"A11";"Introductory Genetics";"LAB";"M";1435;1725;50
"BIOL";2104;"A12";"Introductory Genetics";"LAB";"T";1435;1725;50
"BIOL";2104;"A13";"Introductory Genetics";"LAB";"W";1435;1725;50
"BIOL";2104;"A14";"Introductory Genetics";"LAB";"R";1435;1725;50
"BIOL";2104;"A15";"Introductory Genetics";"LAB";"F";1435;1725;50
"BIOL";2104;"T01";"Introductory Genetics";"TUT";"M";1435;1725;31
"BIOL";2104;"T02";"Introductory Genetics";"TUT";"T";1435;1725;98
"BIOL";2104;"T03";"Introductory Genetics";"TUT";"W";1435;1725;31
"BIOL";2104;"T04";"Introductory Genetics";"TUT";"R";1435;1725;30
"BIOL";2104;"T05";"Introductory Genetics";"TUT";"F";1435;1725;31
"BIOL";2107;"A";"Fundamentals of Genetics";"LEC";"MW";1135;1255;148
"BIOL";2303;"A";"Microbiology";"LEC";"MW";835;955;387
"BIOL";2903;"A";"Natural History of Ontario";"LEC";"MW";1135;1255;134
"BIOL";2903;"AOD";"Natural History of Ontario";"VOD";;;;
"BIOL";2903;"V";"Natural History of Ontario";"LEC";;;;
"BIOL";2903;"VOD";"Natural History of Ontario";"VOD";;;;
"BIOL";3104;"A";"Molecular Genetics";"LEC";"MW";1135;1255;195
"BIOL";3202;"A";"Principles of Develop Biology";"LEC";"TR";1005;1125;84
"BIOL";3205;"A";"Plant Physiology";"LEC";"MW";1005;1125;78
"BIOL";3205;"A01";"Plant Physiology";"LAB";"M";1335;1725;20
"BIOL";3205;"A02";"Plant Physiology";"LAB";"T";1335;1725;20
"BIOL";3205;"A03";"Plant Physiology";"LAB";"W";1335;1725;20
"BIOL";3307;"A";"Adv Human Anatomy&Physiology";"LEC";"TR";835;955;96
"BIOL";3307;"A01";"Adv Human Anatomy&Physiology";"LAB";"M";1335;1725;30
"BIOL";3307;"A02";"Adv Human Anatomy&Physiology";"LAB";"T";1335;1725;30
"BIOL";3307;"A03";"Adv Human Anatomy&Physiology";"LAB";"W";1335;1725;30
"BIOL";3307;"A04";"Adv Human Anatomy&Physiology";"LAB";"R";1335;1725;30
"BIOL";3307;"A05";"Adv Human Anatomy&Physiology";"LAB";"F";1335;1725;30
"BIOL";3501;"A";"Biomechanics";"LEC";"TR";1135;1255;48
"BIOL";3501;"A01";"Biomechanics";"TUT";"M";1335;1525;30
"BIOL";3501;"A02";"Biomechanics";"TUT";"M";1535;1725;30
"BIOL";3601;"A";"Ecosystem & Environment Change";"LEC";"TR";1435;1555;42
"BIOL";3601;"A09";"Ecosystem & Environment Change";"LAB";"R";835;1225;30
"BIOL";3601;"A10";"Ecosystem & Environment Change";"LAB";"F";835;1225;30
"BIOL";3604;"A";"Analysis of Ecol Relationships";"LEC";"T";1135;1255;40
"BIOL";3604;"A01";"Analysis of Ecol Relationships";"LAB";"F";1135;1355;30
"BIOL";3605;"B";"Field Course I";"FIE";;;;
"BIOL";3606;"B";"Field Course II";"FIE";;;;
"BIOL";3611;"A";"Evolutionary Ecology";"LEC";"MW";835;955;51
"BIOL";3901;"B";"Research Proposal";"REP";;;;
"BIOL";3999;"A";"Co-op Work Term";"WRK";;;;
"BIOL";4103;"A";"Population Genetics";"LEC";"R";1805;2055;23
"BIOL";4109;"A";"Molecular Genetics Lab";"LEC";"W";935;1125;20
"BIOL";4109;"A04";"Molecular Genetics Lab";"LAB";"R";1335;1725;20
"BIOL";4200;"A";"Immunology";"LEC";"WF";1435;1555;78
"BIOL";4201;"A";"Adv Cell Culture & Tissue Eng";"TUT";"F";1335;1425;25
"BIOL";4201;"A02";"Adv Cell Culture & Tissue Eng";"LAB";"T";1335;1725;25
"BIOL";4201;"A04";"Adv Cell Culture & Tissue Eng";"LAB";"R";1335;1725;25
